Site_Name,Currently_Being_Observed,Year_2023,x,y,place_city_osm_id,place_city_name,place_city_x,place_city_y
Abashiri,True,2023/05/01,"144.2733983000","44.0206319000","405167431",網走市,144.2732035,44.0206027
Akita,True,2023/04/07,"140.0899914000","39.7099909000","752195639",秋田市,140.1034669,39.7197629
Aomori,True,2023/04/11,"140.7100052000","40.8250391000","734876517",青森市,140.7472027,40.8222833
Asahikawa,True,2023/04/28,"142.3799808000","43.7550153000","184366763",旭川市,142.3649743,43.770625
Choshi,True,2023/03/30,"140.8266406000","35.7346813000","2098215168",銚子市,140.8272667,35.7345338
Fukui,True,2023/03/27,"136.2200468000","36.0704197000","762073174",福井市,136.2260542,36.061751
Fukuoka,True,2023/03/26,"130.4080679000","33.5969611000","1932338735",福岡市,130.4017509,33.5898988
Fukushima,True,2023/03/28,"140.4700199000","37.7400078000","734866113",福島市,140.4745807,37.760777
Gifu,True,2023/03/23,"136.7627526000","35.4230949000","5488948282",岐阜市,136.7627526,35.4230949
Hakodate,True,2023/04/20,"140.7399776000","41.7949799000","3229063363",函館市,140.729008,41.768793
Hikone,True,2023/03/30,"136.2596226000","35.2744610000","541403022",彦根市,136.215376,35.254276
Hiroshima,True,2023/03/28,"132.4409671000","34.3897810000","1590291928",広島市,132.4517589,34.3917241
Kagoshima,True,2023/04/05,"130.5610640000","31.5859648000","640003455",鹿児島市,130.5571949,31.596793
Kanazawa,True,2023/03/30,"136.6400211000","36.5600023000","303913177",金沢市,136.6568822,36.561627
Kobe,True,2023/03/31,"135.1699816000","34.6799878000","721818614",神戸市,135.1943764,34.6932379
Kochi,True,2023/03/24,"133.5375232000","33.5624333000","574820566",高知市,133.5394221,33.5680384
Kofu,True,2023/03/24,"138.5833134000","35.6503937000","1808192270",甲府市,138.5710441,35.6652481
Kumagaya,True,2023/03/26,"139.3886446000","36.1473097000","301641122",熊谷市,139.3886141,36.1472472
Kumamoto,True,2023/03/29,"130.7006420000","32.8009294000","642042925",熊本市,130.7333361,32.7833323
Kushiro,True,2023/05/04,"144.3746911000","42.9749595000","381942295",釧路市,144.3820491,42.9849503
Kyoto,True,2023/03/24,"135.7480521000","35.0319381000","533681139",京都市,135.7556075,35.021041
Maebashi,True,2023/03/24,"139.0726892000","36.3926998000","574841107",前橋市,139.0632826,36.3893418
Matsue,True,2023/03/27,"133.0666475000","35.4669940000","1735961887",松江市,133.048768,35.468115
Matsuyama,True,2023/03/28,"132.7658390000","33.8455426000","207689592",松山市,132.7653521,33.8395188
Mito,True,2023/03/27,"140.4800451000","36.3704273000","736355846",水戸市,140.4731743,36.3659174
